FIPS_O,FIPS_D,Week,Pop_flows
25,1,25,18462.0
26,1,25,60105.0
27,1,25,14190.0
28,1,25,1047938.0
29,1,25,232834.0
30,1,25,5564.0
31,1,25,7877.0
32,1,25,16386.0
33,1,25,2854.0
34,1,25,24045.0
35,1,25,14811.0
36,1,25,49480.0
37,1,25,157304.0
38,1,25,2016.0
39,1,25,214361.0
40,1,25,150243.0
41,1,25,12085.0
42,1,25,54035.0
44,1,25,1253.0
45,1,25,103629.0
46,1,25,2285.0
47,1,25,1267348.0
48,1,25,705370.0
49,1,25,10400.0
50,1,25,991.0
51,1,25,107358.0
53,1,25,22890.0
54,1,25,21119.0
55,1,25,35259.0
56,1,25,2303.0
2,1,26,7498.0
4,1,26,33957.0
5,1,26,310825.0
6,1,26,117140.0
8,1,26,38146.0
9,1,26,9831.0
10,1,26,3468.0
11,1,26,4569.0
12,1,26,1120292.0
13,1,26,1484125.0
15,1,26,8908.0
